iata,icao,airport_id
KTL,HKKT,1141
LAU,HKLU,1144
LOK,HKLO,1143
,HKNV,1146
WJR,HKWJ,1149
FAA,GUFH,1100
MBA,HKMO,1145
GHT,HLGT,1152
WIL,HKNW,1147
,HLFL,1150
,HKRE,1148
,HLGL,1151
AKF,HLKF,1153
SEB,HLLS,1156
TIP,HLLT,1157
BEN,HLLB,1154
LMQ,HLMB,1158
,HLNF,1159
LTD,HLTD,1162
DOG,HSDN,1167
KGL,HRYR,1165
,HLRA,1161
GYI,HRYG,1164
SKV,HESC,1135
,HLZA,1163
KME,HRZA,1166
ELF,HSFS,1169
RSS,HSDZ,1168
KIS,HKKI,1140
KDX,HSLI,1171
MAK,HSSM,1174
ARK,HTAR,1176
JUB,HSSJ,1173
HUQ,HLON,1160
EBD,HSOB,1172
KSL,HSKA,1170
MMO,GVMA,1104
KRT,HSSS,1175
ELT,HETR,1137
DAR,HTDA,1177
DOD,HTDO,1178
MYW,HTMT,1182
JRO,HTKJ,1180
MWZ,HTMW,1183
LKY,HTLM,1181
IRI,HTIR,1179
TGT,HTTG,1185
PMA,HTPE,1184
ZNZ,HTZA,1186
EBB,HUEN,1187
SRT,HUSO,1189
BOJ,LBBG,1191
TIA,LATI,1190
OSI,LDOS,1202
AKT,LCRA,1199
GOZ,LBGO,1192
PDV,LBPD,1193
DBV,LDDU,1200
PFO,LCPH,1198
LCA,LCLK,1197
VAR,LBWN,1196
RJK,LDRI,1205
SPU,LDSP,1206
,LDRG,1204
,LDOC,1201
ZAD,LDZD,1209
PUY,LDPL,1203
ZAG,LDZA,1208
,LDZU,1210
,LDVA,1207
ABC,LEAB,1211
ALC,LEAL,1212
LEI,LEAM,1213
OVD,LEAS,1214
ODB,LEBA,1215
SZR,LBSZ,1195
BIO,LEBB,1216
SOF,LBSF,1194
BCN,LEBL,1218
BJZ,LEBZ,1219
,LEGA,1221
IBZ,LEIB,1225
LCG,LECO,1220
XRY,LEJR,1226
GRO,LEGE,1222
MJV,LELC,1227
,LEGT,1224
GRX,LEGR,1223
AGP,LEMG,1230
OZP,LEMO,1232
MAD,LEMD,1229
MAH,LEMH,1231
PNA,LEPP,1234
,LEOC,1233
,LERI,1235
VLL,LEVD,1247
LEU,LESU,1244
ROZ,LERT,1237
REU,LERS,1236
VIT,LEVT,1249
SLM,LESA,1238
,LESL,1241
VGO,LEVX,1250
ZAZ,LEZG,1252
SDR,LEXJ,1251
CQF,LFAC,1254
SVQ,LEZL,1253
,LESB,1239
TOJ,LETO,1245
VLC,LEVC,1246
,LFAG,1255
,LFAO,1257
,LFAI,1256
BYF,LFAQ,1258
,LFAY,1261
LTQ,LFAT,1259
EAS,LESO,1242
XVS,LFAV,1260
EGC,LFBE,1265
,LFBC,1263
BOD,LFBD,1264
SCQ,LEST,1243
AGF,LFBA,1262
,LFBF,1266
CNG,LFBG,1267
LIG,LFBL,1270
,LFBM,1271
NIT,LFBN,1272
PIS,LFBI,1268
PUF,LFBP,1274
TLS,LFBO,1273
MCU,LFBK,1269
LDE,LFBT,1276
,LFBR,1275
BIQ,LFBZ,1280
PGX,LFBX,1279
ZAO,LFCC,1281
ANG,LFBU,1277
BVE,LFSL,1278
DCM,LFCK,1285
,LFCH,1283
LBI,LFCI,1284
,LFCG,1282
,LFCL,1286
,LFCM,1287
,LFCQ,1288
RDZ,LFCR,1289
,LFCU,1290
,LFCW,1291
XMW,LFDB,1295
,LFCZ,1293
RYN,LFCY,1292
,LFDI,1297
,LFDA,1294
,LFDH,1296
,LFES,1303
,LFDM,1299
,LFDJ,1298
,LFED,1301
,LFFN,1306
RCO,LFDN,1300
,LFEH,1302
CMR,LFGA,1307
,LFFI,1305
,LFGF,1308
DLE,LFGJ,1309
,LFHS,1315
,LFGK,1310
,LFGW,1311
LPY,LFHP,1313
OBS,LFHO,1312
,LFHQ,1314
,LFHY,1317
CLY,LFKC,1322
BIA,LFKB,1321
,LFIF,1318
,LFHV,1316
ETZ,LFJL,1320
,LFIG,1319
AJA,LFKJ,1324
PRP,LFKO,1325
FSC,LFKF,1323
SOZ,LFKS,1326
AUF,LFLA,1328
,LFKT,1327
CMF,LFLB,1329
LYS,LFLL,1335
QNJ,LFLI,1334
BOU,LFLD,1331
,LFLT,1341
CFE,LFLC,1330
,LFLH,1333
VAF,LFLU,1342
,LFLM,1336
VHY,LFLV,1343
CHR,LFLX,1345
AUR,LFLW,1344
SYT,LFLN,1337
,LFMC,1348
,LFMA,1347
